x_final,y_final,x,y,theta,input
-0.57,1.134,0.976978567,1.783371912,2.543765759,0.999991245
-0.57,1.134,0.956241193,1.797118589,2.568647373,0.999991194
-0.57,1.134,0.935168234,1.810345085,2.593528987,0.999991138
-0.57,1.134,0.913772735,1.823043212,2.618410598,0.999991079
-0.57,1.134,0.892067942,1.835205109,2.643292209,0.999991016
-0.57,1.134,0.87006729,1.846823246,2.668173817,0.999990949
-0.57,1.134,0.8477844,1.857890433,2.693055424,0.999990878
-0.57,1.134,0.825233067,1.868399817,2.717937029,0.999990803
-0.57,1.134,0.80242725,1.878344893,2.742818633,0.999990723
-0.57,1.134,0.779381069,1.887719503,2.767700234,0.999990639
-0.57,1.134,0.75610879,1.896517845,2.792581833,0.99999055
-0.57,1.134,0.73262482,1.904734472,2.817463429,0.999990456
-0.57,1.134,0.708943697,1.912364298,2.842345024,0.999990357
-0.57,1.134,0.685080082,1.919402598,2.867226616,0.999990253
-0.57,1.134,0.661048747,1.925845017,2.892108205,0.999990143
-0.57,1.134,0.63686457,1.931687565,2.916989791,0.999990028
-0.57,1.134,0.612542522,1.936926626,2.941871374,0.999989907
-0.57,1.134,0.588097659,1.941558957,2.966752955,0.999989779
-0.57,1.134,0.563545115,1.94558169,2.991634532,0.999989646
-0.57,1.134,0.538900089,1.948992335,3.016516105,0.999989505
-0.57,1.134,0.514177838,1.951788781,3.041397675,0.999989358
-0.57,1.134,0.489393667,1.953969296,3.066279242,0.999989203
-0.57,1.134,0.464562918,1.955532531,3.091160804,0.99998904
-0.57,1.134,0.439700963,1.956477518,3.116042362,0.99998887
-0.57,1.134,0.414823194,1.956803672,3.140923916,0.99998869
-0.57,1.134,0.38994501,1.956510791,3.165805465,0.999988502
-0.57,1.134,0.365081813,1.955599058,3.19068701,0.999988304
-0.57,1.134,0.340248996,1.954069036,3.215568549,0.999988096
-0.57,1.134,0.31546193,1.951921672,3.240450083,0.999987878
-0.57,1.134,0.290735961,1.949158297,3.265331612,0.999987648
-0.57,1.134,0.266086395,1.94578062,3.290213135,0.999987407
-0.57,1.134,0.241528492,1.941790734,3.315094651,0.999987153
-0.57,1.134,0.217077454,1.937191108,3.339976161,0.999986885
-0.57,1.134,0.192748419,1.93198459,3.364857664,0.999986603
-0.57,1.134,0.168556446,1.926174402,3.38973916,0.999986306
-0.57,1.134,0.144516513,1.919764144,3.414620649,0.999985992
-0.57,1.134,0.120643502,1.912757781,3.439502129,0.999985661
-0.57,1.134,0.09695219,1.905159653,3.464383601,0.999985312
-0.57,1.134,0.073457244,1.896974463,3.489265064,0.999984942
-0.57,1.134,0.05017321,1.888207278,3.514146518,0.999984551
-0.57,1.134,0.0271145,1.878863527,3.539027961,0.999984137
-0.57,1.134,0.004295389,1.868948992,3.563909394,0.999983698
-0.57,1.134,-0.018269996,1.858469813,3.588790816,0.999983232
-0.57,1.134,-0.040567687,1.847432477,3.613672225,0.999982737
-0.57,1.134,-0.06258388,1.835843817,3.638553622,0.99998221
-0.57,1.134,-0.084304946,1.823711007,3.663435006,0.999981649
-0.57,1.134,-0.105717439,1.811041557,3.688316375,0.99998105
-0.57,1.134,-0.126808103,1.797843313,3.713197728,0.99998041
-0.57,1.134,-0.147563884,1.784124443,3.738079065,0.999979724
-0.57,1.134,-0.167971931,1.769893442,3.762960385,0.99997899
-0.57,1.134,-0.188019613,1.755159119,3.787841685,0.999978201
-0.57,1.134,-0.207694518,1.739930596,3.812722965,0.999977352
-0.57,1.134,-0.226984467,1.7242173,3.837604223,0.999976436
-0.57,1.134,-0.245877519,1.70802896,3.862485458,0.999975445
-0.57,1.134,-0.26436198,1.691375596,3.887366666,0.999974372
-0.57,1.134,-0.282426407,1.674267519,3.912247847,0.999973205
-0.57,1.134,-0.300059617,1.65671532,3.937128998,0.999971933
-0.57,1.134,-0.317250695,1.638729864,3.962010115,0.999970543
-0.57,1.134,-0.333989002,1.620322287,3.986891196,0.999969016
-0.57,1.134,-0.350264174,1.601503983,4.011772237,0.999967335
-0.57,1.134,-0.366066139,1.582286602,4.036653234,0.999965475
-0.57,1.134,-0.381385115,1.562682042,4.061534183,0.999963408
-0.57,1.134,-0.39621162,1.542702439,4.086415076,0.999961099
-0.57,1.134,-0.410536478,1.522360162,4.111295909,0.999958504
-0.57,1.134,-0.424350823,1.501667803,4.136176673,0.999955571
-0.57,1.134,-0.437646104,1.480638174,4.161057359,0.999952231
-0.57,1.134,-0.450414093,1.459284292,4.185937956,0.999948395
-0.57,1.134,-0.462646889,1.437619378,4.21081845,0.999943949
-0.57,1.134,-0.474336922,1.415656844,4.235698823,0.99993874
-0.57,1.134,-0.485476959,1.393410285,4.260579055,0.999932558
-0.57,1.134,-0.496060108,1.370893474,4.285459117,0.999925111
-0.57,1.134,-0.506079822,1.34812035,4.310338973,0.999915976
-0.57,1.134,-0.515529904,1.325105013,4.335218573,0.999904518
-0.57,1.134,-0.524404512,1.30186171,4.360097847,0.99988974
-0.57,1.134,-0.532698162,1.27840483,4.38497669,0.99986998
-0.57,1.134,-0.540405733,1.254748897,4.409854943,0.999842243
