xP,yP,thetaP,inputP,xE,yE,thetaE,inputE
0.530280044,0.647410798,1.34450903,1,-6.420235627,3.225882675,2.010796274,0.999999826
0.545085131,0.725963825,1.424509051,1,-6.437989998,3.261717607,2.050796267,0.999999808
0.553565325,0.80544876,1.504509072,1,-6.457163182,3.296813891,2.090796259,0.999999788
0.555666381,0.885357172,1.584509092,1,-6.477724506,3.331115378,2.13079625,0.999999765
0.55137486,0.965177918,1.664509113,1,-6.499641077,3.364567194,2.17079624,0.999999737
0.540718211,1.044400417,1.744509134,1,-6.522877832,3.397115824,2.210796229,0.999999703
0.523764603,1.122517917,1.824509155,1,-6.547397598,3.428709196,2.250796216,0.999999663
0.500622479,1.199030732,1.904509176,1,-6.573161148,3.459296768,2.290796202,0.999999615
0.471439871,1.273449439,1.984509196,1,-6.600127267,3.488829606,2.330796185,0.999999554
0.436403447,1.345298014,2.064509217,1,-6.628252813,3.517260465,2.370796166,0.999999479
0.395737322,1.41411687,2.144509238,1,-6.657492792,3.544543861,2.410796143,0.999999383
0.349701621,1.479465801,2.224509259,1,-6.687800427,3.570636146,2.450796116,0.999999257
0.298590813,1.540926797,2.304509279,1,-6.719127232,3.595495579,2.490796083,0.999999088
0.242731836,1.598106717,2.3845093,1,-6.751423089,3.619082391,2.530796041,0.999998855
0.182481994,1.650639805,2.464509321,1,-6.784636333,3.641358847,2.570795989,0.999998519
0.118226683,1.698190027,2.544509342,1,-6.81871383,3.662289311,2.61079592,0.999998011
0.050376917,1.740453225,2.624509363,1,-6.853601062,3.681840299,2.650795823,0.999997188
-0.020633297,1.777159058,2.704509383,1,-6.889242216,3.699980536,2.690795682,0.999995728
-0.094349735,1.808072734,2.784509404,1,-6.925580275,3.716681003,2.730795452,0.999992758
-0.170295091,1.833016791,2.86398225,0.986820672,-6.962557102,3.731914989,2.770795011,0.99998521
-0.247251155,1.854874572,2.865720673,-0.943360106,-7.000113538,3.745658142,2.810793834,0.999955919
-0.324208026,1.87672952,2.864055886,0.901740443,-7.038189463,3.757888605,2.850786607,0.999682759
-0.401164133,1.898587167,2.865650527,-0.861874441,-7.076570105,3.769152745,2.861460711,-0.465977556
-0.478120976,1.920442228,2.86412313,0.823689529,-7.115008108,3.780221622,2.860962344,0.441059198
-0.555077122,1.942299752,2.865586521,-0.787104753,-7.15344597,3.791290983,2.861435473,-0.417402769
-0.632033943,1.964154907,2.864184713,0.752059557,-7.191883978,3.802359838,2.860988711,0.395064709
-0.708990136,1.986012278,2.865528927,-0.71845422,-7.230321843,3.81342919,2.861409622,-0.374019155
-0.785947135,2.00786682,2.864258273,0.686687879,-7.268759841,3.824498077,2.861012858,0.35418094
-0.862903329,2.029724198,2.865455211,-0.656764435,-7.307197718,3.835567386,2.861387672,-0.335440231
-0.939860109,2.051579523,2.864311667,0.628175849,-7.345635705,3.846636312,2.86103281,0.317697101
-1.016816347,2.073436759,2.865405542,-0.600828994,-7.38407359,3.857705591,2.861369323,-0.30087145
-1.093773097,2.095292194,2.864358456,0.574651858,-7.42251157,3.868774541,2.861049888,0.284899691
-1.170729363,2.117149336,2.865361206,-0.549583129,-7.460949461,3.879843799,2.861353309,-0.26972864
-1.247686093,2.139004849,2.864400799,0.525572958,-7.499387436,3.890912766,2.861065017,0.255314039
-1.324642382,2.160861915,2.865320846,-0.502571788,-7.537825332,3.90198201,2.861338929,-0.241618417
-1.401599095,2.182717495,2.864439435,0.480536517,-7.576263304,3.91305099,2.861078727,0.228608312
-1.478555405,2.204574494,2.865283976,-0.459422996,-7.614701203,3.924120222,2.861325825,-0.216253393
-1.555512102,2.226430133,2.864474766,0.439192752,-7.653139171,3.935189213,2.861091262,0.204525209
-1.632468431,2.24828707,2.865250241,-0.419805864,-7.691577073,3.946258435,2.861313835,-0.193396525
-1.709425114,2.270142762,2.864507132,0.401228148,-7.730015039,3.957327436,2.861102728,0.182841163
-1.786381459,2.291999645,2.865219301,-0.383423941,-7.768452944,3.968396648,2.861302877,-0.172833699
